time,gFx,gFy,gFz,gFTotal
0.008453130722045898,0.126,-0.215,-0.865,0.9
0.008934974670410156,0.126,-0.215,-0.865,0.9
0.02103400230407715,0.121,-0.22,-0.883,0.918
0.02703404426574707,0.126,-0.24,-0.934,0.973
0.03792881965637207,0.12,-0.245,-0.961,0.999
0.04788708686828613,0.088,-0.253,-0.952,0.989
0.05792093276977539,0.05,-0.251,-0.95,0.984
0.06830191612243652,0.035,-0.247,-0.968,1.0
0.07821798324584961,0.031,-0.258,-0.999,1.032
0.08878302574157715,0.033,-0.263,-1.015,1.049
0.11126995086669922,0.051,-0.269,-0.988,1.025
0.11165308952331543,0.051,-0.269,-0.988,1.025
0.11843609809875488,0.07,-0.267,-0.979,1.017
0.12855195999145508,0.087,-0.261,-0.973,1.011
0.13887810707092285,0.085,-0.262,-0.967,1.005
0.14907193183898926,0.092,-0.259,-0.966,1.004
0.15886807441711426,0.098,-0.257,-0.959,0.998
0.16942191123962402,0.092,-0.258,-0.948,0.987
0.17925810813903809,0.094,-0.272,-0.954,0.996
0.18958401679992676,0.091,-0.281,-0.959,1.003
0.21289896965026855,0.091,-0.275,-0.935,0.979
0.21346402168273926,0.091,-0.275,-0.935,0.979
0.21922802925109863,0.086,-0.274,-0.933,0.976
0.22946596145629883,0.085,-0.277,-0.94,0.984
0.2395341396331787,0.083,-0.276,-0.952,0.995
0.24971985816955566,0.079,-0.266,-0.958,0.997
0.25975489616394043,0.071,-0.255,-0.944,0.98
0.2701609134674072,0.066,-0.254,-0.939,0.975
0.2803339958190918,0.073,-0.257,-0.949,0.986
0.29034900665283203,0.081,-0.262,-0.952,0.991
0.31278491020202637,0.099,-0.259,-0.948,0.988
0.31305599212646484,0.099,-0.259,-0.948,0.988
0.3201000690460205,0.098,-0.262,-0.955,0.995
0.33034396171569824,0.104,-0.262,-0.965,1.005
0.3402879238128662,0.102,-0.26,-0.978,1.017
0.3505690097808838,0.09,-0.253,-0.973,1.009
0.36022496223449707,0.085,-0.251,-0.966,1.002
0.37067604064941406,0.085,-0.253,-0.96,0.996
0.38096094131469727,0.09,-0.246,-0.956,0.991
0.3909599781036377,0.096,-0.238,-0.954,0.988
0.41731905937194824,0.108,-0.243,-0.944,0.981
0.4175550937652588,0.108,-0.243,-0.944,0.981
0.42032885551452637,0.108,-0.245,-0.937,0.975
0.4310190677642822,0.109,-0.246,-0.935,0.973
0.44100213050842285,0.105,-0.247,-0.934,0.972
0.45165181159973145,0.105,-0.246,-0.939,0.976
0.46097898483276367,0.108,-0.244,-0.943,0.98
0.4714620113372803,0.108,-0.245,-0.943,0.98
0.4820249080657959,0.107,-0.248,-0.951,0.989
0.4924161434173584,0.106,-0.247,-0.964,1.001
0.5193650722503662,0.116,-0.244,-0.972,1.009
0.5196630954742432,0.116,-0.244,-0.972,1.009
0.5219180583953857,0.122,-0.245,-0.969,1.007
0.5323300361633301,0.124,-0.247,-0.961,1.0
0.5417869091033936,0.12,-0.246,-0.939,0.978
0.5526149272918701,0.114,-0.236,-0.92,0.957
0.5628368854522705,0.109,-0.227,-0.914,0.948
0.5728130340576172,0.116,-0.229,-0.924,0.959
0.5831339359283447,0.117,-0.229,-0.945,0.979
0.5929419994354248,0.046,-0.224,-0.99,1.016
0.620311975479126,-0.118,-0.317,-0.911,0.972
0.6207678318023682,-0.118,-0.317,-0.911,0.972
0.6227281093597412,-0.119,-0.347,-0.912,0.983
0.6330709457397461,-0.082,-0.374,-0.935,1.01
0.6429779529571533,0.0,-0.423,-1.028,1.112
0.6535730361938477,0.15,-0.485,-1.097,1.209
0.6636660099029541,0.295,-0.478,-0.973,1.123
0.673349142074585,0.352,-0.454,-0.839,1.017
0.6842048168182373,0.324,-0.492,-0.767,0.967
0.6943938732147217,0.256,-0.505,-0.685,0.889
0.7200119495391846,0.57,-0.517,-1.241,1.46
0.7204000949859619,0.57,-0.517,-1.241,1.46
0.7229540348052979,0.738,-0.675,-1.633,1.915
0.7341170310974121,0.292,-0.896,-0.902,1.304
0.7437851428985596,0.005,-0.798,-0.884,1.191
0.7541589736938477,0.023,-0.465,-1.203,1.29
0.7643539905548096,0.187,-0.179,-1.048,1.079
0.7740130424499512,0.174,-0.177,-0.562,0.614
0.7851231098175049,0.252,-0.17,-0.374,0.482
0.7946488857269287,0.244,-0.085,-0.241,0.353
0.8209860324859619,0.241,-0.53,-1.159,1.297
0.8213660717010498,0.241,-0.53,-1.159,1.297
0.823997974395752,0.622,-1.211,-2.312,2.683
0.8349220752716064,0.467,-0.92,-1.051,1.473
0.8446710109710693,0.218,-0.619,-0.303,0.723
0.8550410270690918,0.105,-0.533,-0.163,0.567
0.8652079105377197,0.094,-0.526,-0.183,0.565
0.8748929500579834,-0.108,-0.622,-0.458,0.78
0.8851211071014404,-0.282,-0.569,-0.786,1.01
0.8961479663848877,-0.159,-0.332,-0.761,0.845
0.9209599494934082,0.073,0.256,-0.565,0.625
0.9213831424713135,0.073,0.256,-0.565,0.625
0.9248700141906738,-0.044,0.289,-0.419,0.511
0.9353559017181396,-0.079,0.127,-0.511,0.532
0.9453859329223633,-0.131,-0.062,-0.498,0.519
0.9554440975189209,-0.15,-0.119,-0.378,0.424
0.9658100605010986,-0.152,-0.053,-0.249,0.297
0.975862979888916,-0.143,0.064,-0.1,0.186
0.9866080284118652,-0.154,0.171,0.059,0.238
0.9971950054168701,-0.212,0.21,0.195,0.356
1.0223679542541504,-0.359,0.314,0.553,0.73
1.0226938724517822,-0.359,0.314,0.553,0.73
1.025399923324585,-0.442,0.41,0.686,0.913
1.0361900329589844,-0.505,0.563,0.756,1.069
1.046360969543457,-0.627,0.815,0.793,1.299
1.0562970638275146,-0.689,1.096,0.75,1.496
1.0664341449737549,-0.663,1.266,0.682,1.583
1.0769760608673096,-0.67,1.354,0.7,1.665
1.0869390964508057,-0.695,1.551,0.74,1.854
1.0971770286560059,-0.767,1.861,0.725,2.139
1.12180495262146,-1.056,2.62,0.616,2.891
1.1220409870147705,-1.056,2.62,0.616,2.891
1.1266391277313232,-1.234,2.992,0.48,3.272
1.1375010013580322,-1.359,3.192,0.434,3.496
1.1474559307098389,-1.511,3.339,0.501,3.699
1.1574649810791016,-1.609,3.531,0.502,3.913
1.1675379276275635,-1.642,3.786,0.562,4.165
1.1780200004577637,-1.701,3.998,0.587,4.384
1.1881649494171143,-1.715,4.259,0.567,4.626
1.1984398365020752,-1.753,4.491,0.588,4.857
1.2218999862670898,-1.797,4.756,0.635,5.124
1.2221529483795166,-1.797,4.756,0.635,5.124
1.22725510597229,-1.794,4.901,0.58,5.251
1.237839937210083,-1.778,5.043,0.591,5.38
1.2482750415802002,-1.729,5.201,0.541,5.507
1.2579190731048584,-1.629,5.157,0.499,5.431
1.2683298587799072,-1.588,5.084,0.568,5.356
1.2783210277557373,-1.588,5.146,0.606,5.419
1.2883198261260986,-1.57,5.069,0.556,5.336
1.2986581325531006,-1.592,4.938,0.599,5.223
1.3206639289855957,-1.607,4.631,0.673,4.948
1.320854902267456,-1.607,4.631,0.673,4.948
1.328894853591919,-1.586,4.354,0.657,4.68
1.3386681079864502,-1.576,4.037,0.603,4.375
1.3494040966033936,-1.576,3.713,0.574,4.074
1.3587291240692139,-1.603,3.481,0.608,3.88
1.369109869003296,-1.639,3.301,0.594,3.733
1.3794469833374023,-1.678,3.067,0.551,3.539
1.389289140701294,-1.701,2.862,0.535,3.372
1.3994269371032715,-1.744,2.658,0.571,3.23
1.42197585105896,-1.813,2.228,0.387,2.898
1.4224920272827148,-1.813,2.228,0.387,2.898
1.4292218685150146,-1.865,2.131,0.274,2.845
1.4393110275268555,-1.874,2.003,0.106,2.745
1.4497449398040771,-1.854,1.819,-0.063,2.598
1.4595370292663574,-1.787,1.691,-0.273,2.475
1.4694979190826416,-1.699,1.567,-0.436,2.352
1.4803199768066406,-1.658,1.427,-0.574,2.262
1.4900329113006592,-1.667,1.309,-0.731,2.242
1.500218152999878,-1.766,1.096,-0.859,2.249
1.5244359970092773,-2.134,0.519,-0.905,2.375
1.5248169898986816,-2.134,0.519,-0.905,2.375
1.5305159091949463,-2.395,0.125,-0.919,2.568
1.5401649475097656,-2.783,-0.321,-1.035,2.987
1.5505378246307373,-3.205,-0.874,-1.271,3.557
1.560349941253662,-3.431,-1.361,-1.513,3.989
1.570810079574585,-3.085,-1.434,-1.506,3.72
1.5814011096954346,-2.578,-1.109,-1.557,3.209
1.5906641483306885,-2.103,-0.919,-1.505,2.744
1.6009190082550049,-1.721,-0.837,-1.258,2.29
1.613713026046753,-1.481,-0.778,-1.07,1.986
1.6261751651763916,-1.477,-0.862,-0.904,1.934
1.630185842514038,-1.566,-1.017,-0.621,1.968
1.6410980224609375,-1.682,-1.191,-0.373,2.094
1.6508660316467285,-1.657,-1.254,-0.294,2.099
1.6608250141143799,-1.556,-0.934,-0.125,1.819
1.671241044998169,-1.59,-0.525,0.099,1.677
1.6819260120391846,-1.666,-0.276,0.281,1.712
1.6916720867156982,-1.806,0.171,0.464,1.872
1.701874017715454,-1.952,0.71,0.678,2.185
1.7265989780426025,-2.229,2.404,1.573,3.636
1.726978063583374,-2.229,2.404,1.573,3.636
1.7324130535125732,-2.309,3.284,1.994,4.482
1.7420809268951416,-2.292,3.94,2.399,5.151
1.7521021366119385,-2.083,4.661,2.83,5.837
1.7616288661956787,-1.809,5.902,3.313,7.006
1.772442102432251,-1.479,7.148,3.935,8.293
1.7827298641204834,-0.973,8.017,4.271,9.136
1.7923989295959473,-0.498,8.055,4.595,9.287
1.8031809329986572,-0.252,8.039,4.946,9.442
1.825268030166626,-0.204,8.044,5.243,9.604
1.8255860805511475,-0.204,8.044,5.243,9.604
1.8330929279327393,-0.392,8.045,5.225,9.601
1.8424839973449707,-0.202,8.044,4.998,9.472
1.852834939956665,0.161,8.04,4.516,9.223
1.8631141185760498,0.118,8.04,4.194,9.069
1.8730671405792236,-0.08,8.041,3.99,8.977
1.8831839561462402,-0.198,8.041,3.78,8.887
1.8931090831756592,-0.262,8.042,3.811,8.903
1.9039361476898193,-0.25,8.042,4.035,9.001
1.9277520179748535,-0.255,8.041,3.786,8.891
1.9281299114227295,-0.255,8.041,3.786,8.891
1.9335339069366455,0.359,7.692,3.84,8.605
1.9432399272918701,0.743,6.412,3.876,7.529
1.9535770416259766,1.019,5.4,3.252,6.385
1.9640820026397705,1.322,4.558,2.485,5.357
1.97371506690979,1.67,3.68,1.79,4.42
1.9842009544372559,1.685,3.0,1.461,3.738
1.9942100048065186,1.718,2.587,1.244,3.345
2.0046639442443848,1.505,2.787,1.165,3.375
2.026965856552124,1.946,3.201,0.826,3.836
2.027194023132324,1.946,3.201,0.826,3.836
2.0344889163970947,2.485,2.596,0.203,3.599
2.0445220470428467,2.715,2.765,-0.716,3.941
2.054395914077759,2.588,2.524,-1.031,3.759
2.0650970935821533,2.365,2.403,-1.28,3.606
2.0745599269866943,2.08,2.514,-1.59,3.63
2.085219144821167,1.445,2.865,-1.922,3.74
2.09490704536438,1.19,3.28,-2.309,4.184
2.1050620079040527,1.213,3.45,-2.36,4.352
2.128948926925659,1.16,3.733,-2.635,4.714
2.1292810440063477,1.16,3.733,-2.635,4.714
2.1350839138031006,0.783,3.546,-2.657,4.5
2.145524024963379,0.242,3.247,-2.551,4.136
2.155205011367798,-0.182,2.97,-2.326,3.777
2.1654560565948486,-0.258,2.802,-2.122,3.524
2.1755530834198,-0.328,2.652,-1.615,3.122
2.1857569217681885,-0.434,2.616,-1.033,2.846
2.1960089206695557,-0.418,2.515,-0.897,2.703
2.2059829235076904,-0.427,2.431,-0.924,2.636
2.228801965713501,-0.993,2.305,-0.592,2.579
2.22917103767395,-0.993,2.305,-0.592,2.579
2.2353899478912354,-1.243,2.184,-0.392,2.543
2.246220827102661,-1.387,2.149,-0.19,2.565
2.256404161453247,-1.359,2.087,0.083,2.492
2.2659239768981934,-1.373,1.912,0.387,2.386
2.2756519317626953,-1.36,1.667,0.722,2.269
2.286228895187378,-1.293,1.495,1.115,2.269
2.2965128421783447,-1.19,1.424,1.48,2.374
2.3068459033966064,-1.055,1.353,1.806,2.491
2.331890821456909,-0.753,1.224,1.935,2.41
2.332119941711426,-0.753,1.224,1.935,2.41
2.3363559246063232,-0.695,1.065,1.871,2.262
2.3465769290924072,-0.655,0.93,1.746,2.084
2.356812000274658,-0.614,0.807,1.596,1.891
2.3674118518829346,-0.689,0.591,1.491,1.746
2.376845121383667,-0.767,0.471,1.394,1.659
2.3874619007110596,-0.829,0.542,1.478,1.779
2.3975398540496826,-0.867,0.587,1.686,1.985
2.407780885696411,-0.956,0.546,1.759,2.075
2.4325520992279053,-1.22,0.434,1.726,2.158
2.432966947555542,-1.22,0.434,1.726,2.158
2.4370930194854736,-1.366,0.506,1.558,2.133
2.4476120471954346,-1.429,0.659,1.436,2.13
2.457537889480591,-1.401,0.925,1.41,2.192
2.467923879623413,-1.238,1.22,1.428,2.249
2.4778268337249756,-1.012,1.272,1.523,2.227
2.4880220890045166,-1.129,1.087,1.69,2.305
2.498427152633667,-1.332,1.344,1.668,2.522
2.5080440044403076,-1.399,1.805,1.458,2.709
2.532578945159912,-1.357,1.468,1.322,2.397
2.5328049659729004,-1.357,1.468,1.322,2.397
2.538120985031128,-1.397,1.09,1.324,2.212
2.5484719276428223,-1.715,0.933,1.279,2.334
2.558058977127075,-2.164,0.869,1.186,2.616
2.5691909790039062,-2.583,0.738,1.092,2.9
2.578934907913208,-2.675,0.644,1.03,2.938
2.588909864425659,-2.595,0.566,0.824,2.781
2.5996789932250977,-2.448,0.656,0.758,2.645
2.609330892562866,-2.147,0.918,0.927,2.512
2.633864164352417,-1.68,1.33,0.927,2.335
2.634089946746826,-1.68,1.33,0.927,2.335
2.63885498046875,-1.556,1.487,1.073,2.405
2.649142026901245,-1.503,1.467,1.192,2.415
2.659019947052002,-1.375,1.549,1.156,2.372
2.670140027999878,-1.246,1.643,1.117,2.345
2.679826021194458,-1.113,1.634,1.085,2.255
2.6902010440826416,-0.985,1.68,1.017,2.197
2.700521945953369,-0.9,1.709,1.002,2.176
2.7104761600494385,-0.81,1.721,1.078,2.186
2.7374320030212402,-0.827,1.812,1.116,2.283
2.737656831741333,-0.827,1.812,1.116,2.283
2.7397758960723877,-0.798,1.782,1.061,2.222
2.7504451274871826,-0.796,1.764,1.053,2.203
2.759779930114746,-0.8,1.743,1.074,2.198
2.7702901363372803,-0.797,1.695,1.051,2.148
2.7800748348236084,-0.869,1.757,1.05,2.224
2.79044508934021,-0.928,1.924,1.047,2.379
2.8006770610809326,-0.906,1.984,0.998,2.399
2.81105899810791,-0.812,1.934,0.967,2.31
2.835944890975952,-0.628,1.797,0.944,2.125
2.836171865463257,-0.628,1.797,0.944,2.125
2.8404219150543213,-0.613,1.685,0.902,2.007
2.8510959148406982,-0.645,1.513,0.875,1.863
2.8604748249053955,-0.685,1.328,0.877,1.733
2.8713910579681396,-0.754,1.199,0.847,1.65
2.8814709186553955,-0.862,1.207,0.86,1.714
2.891263961791992,-0.879,1.231,0.883,1.751
2.9014790058135986,-0.994,1.143,0.823,1.724
2.911641836166382,-1.113,1.088,0.808,1.754
2.9362308979034424,-1.297,1.132,0.7,1.858
2.9364700317382812,-1.297,1.132,0.7,1.858
2.941213846206665,-1.383,1.2,0.585,1.922
2.951838970184326,-1.425,1.233,0.49,1.947
2.9611380100250244,-1.454,1.239,0.392,1.95
2.971994161605835,-1.481,1.239,0.241,1.946
2.981902837753296,-1.393,1.193,0.059,1.835
2.9922499656677246,-1.237,1.138,-0.098,1.684
3.0023629665374756,-1.127,1.085,-0.216,1.579
3.0125138759613037,-1.008,1.068,-0.295,1.498
3.037482976913452,-0.8,0.828,-0.332,1.198
3.0376851558685303,-0.8,0.828,-0.332,1.198
3.0420801639556885,-0.708,0.68,-0.384,1.054
3.052625894546509,-0.669,0.561,-0.485,0.999
3.061998128890991,-0.638,0.453,-0.562,0.963
3.072988986968994,-0.59,0.376,-0.616,0.932
3.082629919052124,-0.513,0.277,-0.673,0.89
3.092466115951538,-0.441,0.169,-0.701,0.845
3.1031570434570312,-0.341,0.093,-0.717,0.799
3.1145169734954834,-0.247,0.015,-0.711,0.753
3.1406919956207275,-0.152,-0.151,-0.713,0.744
3.140918016433716,-0.152,-0.151,-0.713,0.744
3.1428749561309814,-0.133,-0.222,-0.698,0.744
3.1538140773773193,-0.091,-0.254,-0.742,0.79
3.1629979610443115,-0.058,-0.247,-0.787,0.827
3.1734979152679443,-0.076,-0.272,-0.77,0.82
3.1838629245758057,-0.064,-0.307,-0.76,0.822
3.1936490535736084,-0.061,-0.314,-0.747,0.813
3.2039589881896973,-0.054,-0.332,-0.728,0.802
3.214679002761841,-0.028,-0.364,-0.734,0.82
3.2401349544525146,-0.013,-0.399,-0.739,0.84
3.240363836288452,-0.013,-0.399,-0.739,0.84
3.2436630725860596,0.005,-0.409,-0.749,0.853
3.2541990280151367,0.028,-0.405,-0.756,0.858
3.2639448642730713,0.055,-0.397,-0.729,0.832
3.274204969406128,0.058,-0.375,-0.703,0.799
3.284518003463745,-0.014,-0.352,-0.693,0.777
3.294312000274658,-0.042,-0.322,-0.673,0.747
3.30499005317688,-0.054,-0.266,-0.659,0.713
3.315798044204712,-0.066,-0.196,-0.682,0.713
3.3441059589385986,0.044,-0.085,-0.69,0.697
3.3446481227874756,0.044,-0.085,-0.69,0.697
3.346574068069458,0.044,-0.085,-0.69,0.697
3.3549089431762695,0.096,-0.108,-0.685,0.7
3.3652350902557373,0.134,-0.122,-0.65,0.675
3.374763011932373,0.162,-0.123,-0.646,0.677
3.385671854019165,0.211,-0.13,-0.663,0.708
3.395559072494507,0.232,-0.147,-0.62,0.678
3.406420946121216,0.19,-0.156,-0.607,0.655
3.4158530235290527,0.192,-0.134,-0.646,0.687
3.442034959793091,0.187,-0.128,-0.645,0.684
3.4422659873962402,0.187,-0.128,-0.645,0.684
3.445495843887329,0.087,-0.119,-0.69,0.706
3.4557321071624756,-0.088,-0.077,-0.727,0.736
3.4659130573272705,0.208,-0.091,-0.699,0.735
3.475770950317383,0.26,-0.227,-0.647,0.733
3.48641300201416,0.114,-0.298,-0.724,0.791
3.4961788654327393,0.036,-0.37,-0.778,0.862
3.5063369274139404,-0.069,-0.436,-0.754,0.874
3.5171990394592285,-0.099,-0.462,-0.727,0.867
3.54613995552063,-0.162,-0.48,-0.753,0.908
3.5467820167541504,-0.162,-0.48,-0.753,0.908
3.548724889755249,-0.162,-0.48,-0.753,0.908
3.556190013885498,-0.167,-0.494,-0.722,0.891
3.5667850971221924,-0.148,-0.485,-0.735,0.893
3.5763349533081055,-0.122,-0.451,-0.774,0.904
3.5870821475982666,-0.087,-0.434,-0.797,0.912
3.59802508354187,-0.045,-0.424,-0.81,0.915
3.6069228649139404,-0.023,-0.4,-0.827,0.919
3.6180708408355713,-0.024,-0.388,-0.844,0.929
3.6443698406219482,-0.035,-0.399,-0.838,0.929
3.6445980072021484,-0.035,-0.399,-0.838,0.929
3.6471619606018066,-0.043,-0.385,-0.829,0.915
3.6572420597076416,-0.036,-0.378,-0.83,0.913
3.667552947998047,-0.044,-0.379,-0.84,0.923
3.677008867263794,-0.058,-0.392,-0.834,0.923
3.6880319118499756,-0.064,-0.414,-0.817,0.918
3.6983940601348877,-0.071,-0.431,-0.785,0.898
3.7081170082092285,-0.06,-0.432,-0.696,0.821
3.718332052230835,-0.072,-0.416,-0.826,0.928
3.7434160709381104,-0.052,-0.426,-0.821,0.926
3.7436349391937256,-0.052,-0.426,-0.821,0.926
3.7482199668884277,-0.051,-0.421,-0.864,0.962
3.757776975631714,-0.052,-0.405,-0.9,0.988
3.76813006401062,-0.055,-0.392,-0.919,1.001
3.7779719829559326,-0.061,-0.393,-0.922,1.004
3.788457155227661,-0.072,-0.394,-0.92,1.003
